0.0,400,1,100
2.0,409,1,100
4.0,405,1,100
6.0,405,1,100
8.0,405,1,100
10.0,405,1,100
12.0,405,1,100
14.0,405,1,100
16.0,405,1,100
18.0,400,1,100
20.0,405,1,100
22.0,405,1,100
24.0,405,1,100
26.0,405,1,100
28.0,405,1,100
30.0,405,1,100
32.0,409,1,100
34.0,409,1,100
36.0,405,1,100
38.0,409,1,100
40.0,409,1,100
42.0,405,1,100
44.0,405,1,100
48.0,405,1,100
50.0,405,1,100
52.0,405,1,100
54.0,405,1,100
56.0,405,1,100
58.0,405,1,100
60.0,405,1,100
0.0,400,1,100
2.0,408,1,100
4.0,408,1,100
6.0,408,1,100
8.0,408,1,100
10.0,408,1,100
12.0,405,1,100
14.0,408,1,100
16.0,408,1,100
18.0,408,1,100
20.0,408,1,100
22.0,408,1,100
24.0,408,1,100
26.0,408,1,100
28.0,408,1,100
30.0,408,1,100
32.0,410,1,100
34.0,423,1,100
38.0,423,1,100
40.0,427,1,100
42.0,427,1,100
44.0,433,1,100
46.0,427,1,100
50.0,427,1,100
52.0,427,1,100
54.0,427,1,100
56.0,423,1,100
58.0,423,1,100
60.0,423,1,100
0.0,400,1,100
2.0,410,1,100
4.0,406,1,100
6.0,406,1,100
8.0,410,1,100
12.0,410,1,100
14.0,406,1,100
16.0,406,1,100
18.0,410,1,100
22.0,406,1,100
24.0,406,1,100
26.0,406,1,100
28.0,406,1,100
30.0,410,1,100
32.0,410,1,100
34.0,406,1,100
36.0,406,1,100
38.0,406,1,100
40.0,406,1,100
42.0,406,1,100
44.0,402,1,100
46.0,402,1,100
48.0,402,1,100
50.0,400,1,100
52.0,402,1,100
54.0,400,1,100
56.0,402,1,100
58.0,402,1,100
60.0,400,1,100
0.0,422,1,100
2.0,432,1,100
6.0,434,1,100
8.0,434,1,100
10.0,439,1,100
12.0,439,1,100
14.0,439,1,100
16.0,444,1,100
18.0,444,1,100
20.0,444,1,100
22.0,447,1,100
24.0,452,1,100
26.0,447,1,100
28.0,456,1,100
30.0,452,1,100
32.0,452,1,100
34.0,456,1,100
36.0,452,1,100
38.0,456,1,100
40.0,456,1,100
42.0,459,1,100
44.0,459,1,100
46.0,459,1,100
48.0,459,1,100
50.0,459,1,100
52.0,459,1,100
54.0,465,1,100
56.0,465,1,100
58.0,465,1,100
60.0,465,1,100
